date,home_team,away_team,home_score,away_score,status
2025-08-23T16:30:00Z,Genoa CFC,US Lecce,,,TIMED
2025-08-23T16:30:00Z,US Sassuolo Calcio,SSC Napoli,,,TIMED
2025-08-23T18:45:00Z,AC Milan,US Cremonese,,,TIMED
2025-08-23T18:45:00Z,AS Roma,Bologna FC 1909,,,TIMED
2025-08-24T16:30:00Z,Cagliari Calcio,ACF Fiorentina,,,TIMED
2025-08-24T16:30:00Z,Como 1907,SS Lazio,,,TIMED
2025-08-24T18:45:00Z,Atalanta BC,AC Pisa 1909,,,TIMED
2025-08-24T18:45:00Z,Juventus FC,Parma Calcio 1913,,,TIMED
2025-08-25T16:30:00Z,Udinese Calcio,Hellas Verona FC,,,TIMED
2025-08-25T18:45:00Z,FC Internazionale Milano,Torino FC,,,TIMED
2025-08-29T16:30:00Z,US Cremonese,US Sassuolo Calcio,,,TIMED
2025-08-29T18:45:00Z,US Lecce,AC Milan,,,TIMED
2025-08-30T16:30:00Z,Bologna FC 1909,Como 1907,,,TIMED
2025-08-30T16:30:00Z,Parma Calcio 1913,Atalanta BC,,,TIMED
2025-08-30T18:45:00Z,SSC Napoli,Cagliari Calcio,,,TIMED
2025-08-30T18:45:00Z,AC Pisa 1909,AS Roma,,,TIMED
2025-08-31T16:30:00Z,Genoa CFC,Juventus FC,,,TIMED
2025-08-31T16:30:00Z,Torino FC,ACF Fiorentina,,,TIMED
2025-08-31T18:45:00Z,FC Internazionale Milano,Udinese Calcio,,,TIMED
2025-08-31T18:45:00Z,SS Lazio,Hellas Verona FC,,,TIMED
2025-09-13T13:00:00Z,Cagliari Calcio,Parma Calcio 1913,,,TIMED
2025-09-13T16:00:00Z,Juventus FC,FC Internazionale Milano,,,TIMED
2025-09-13T18:45:00Z,ACF Fiorentina,SSC Napoli,,,TIMED
2025-09-14T10:30:00Z,AS Roma,Torino FC,,,TIMED
2025-09-14T13:00:00Z,Atalanta BC,US Lecce,,,TIMED
2025-09-14T13:00:00Z,AC Pisa 1909,Udinese Calcio,,,TIMED
2025-09-14T16:00:00Z,US Sassuolo Calcio,SS Lazio,,,TIMED
2025-09-14T18:45:00Z,AC Milan,Bologna FC 1909,,,TIMED
2025-09-15T16:30:00Z,Hellas Verona FC,US Cremonese,,,TIMED
2025-09-15T18:45:00Z,Como 1907,Genoa CFC,,,TIMED
2025-09-21T00:00:00Z,ACF Fiorentina,Como 1907,,,SCHEDULED
2025-09-21T00:00:00Z,Bologna FC 1909,Genoa CFC,,,SCHEDULED
2025-09-21T00:00:00Z,Torino FC,Atalanta BC,,,SCHEDULED
2025-09-21T00:00:00Z,Hellas Verona FC,Juventus FC,,,SCHEDULED
2025-09-21T00:00:00Z,FC Internazionale Milano,US Sassuolo Calcio,,,SCHEDULED
2025-09-21T00:00:00Z,SS Lazio,AS Roma,,,SCHEDULED
2025-09-21T00:00:00Z,SSC Napoli,AC Pisa 1909,,,SCHEDULED
2025-09-21T00:00:00Z,Udinese Calcio,AC Milan,,,SCHEDULED
2025-09-21T00:00:00Z,US Cremonese,Parma Calcio 1913,,,SCHEDULED
2025-09-21T00:00:00Z,US Lecce,Cagliari Calcio,,,SCHEDULED
2025-09-28T00:00:00Z,AC Milan,SSC Napoli,,,SCHEDULED
2025-09-28T00:00:00Z,AS Roma,Hellas Verona FC,,,SCHEDULED
2025-09-28T00:00:00Z,Cagliari Calcio,FC Internazionale Milano,,,SCHEDULED
2025-09-28T00:00:00Z,Genoa CFC,SS Lazio,,,SCHEDULED
2025-09-28T00:00:00Z,Como 1907,US Cremonese,,,SCHEDULED
2025-09-28T00:00:00Z,Juventus FC,Atalanta BC,,,SCHEDULED
2025-09-28T00:00:00Z,Parma Calcio 1913,Torino FC,,,SCHEDULED
2025-09-28T00:00:00Z,AC Pisa 1909,ACF Fiorentina,,,SCHEDULED
2025-09-28T00:00:00Z,US Sassuolo Calcio,Udinese Calcio,,,SCHEDULED
2025-09-28T00:00:00Z,US Lecce,Bologna FC 1909,,,SCHEDULED
2025-10-05T00:00:00Z,ACF Fiorentina,AS Roma,,,SCHEDULED
2025-10-05T00:00:00Z,Atalanta BC,Como 1907,,,SCHEDULED
2025-10-05T00:00:00Z,Bologna FC 1909,AC Pisa 1909,,,SCHEDULED
2025-10-05T00:00:00Z,Hellas Verona FC,US Sassuolo Calcio,,,SCHEDULED
2025-10-05T00:00:00Z,FC Internazionale Milano,US Cremonese,,,SCHEDULED
2025-10-05T00:00:00Z,Juventus FC,AC Milan,,,SCHEDULED
2025-10-05T00:00:00Z,SS Lazio,Torino FC,,,SCHEDULED
2025-10-05T00:00:00Z,Parma Calcio 1913,US Lecce,,,SCHEDULED
2025-10-05T00:00:00Z,SSC Napoli,Genoa CFC,,,SCHEDULED
2025-10-05T00:00:00Z,Udinese Calcio,Cagliari Calcio,,,SCHEDULED
2025-10-19T00:00:00Z,AC Milan,ACF Fiorentina,,,SCHEDULED
2025-10-19T00:00:00Z,AS Roma,FC Internazionale Milano,,,SCHEDULED
2025-10-19T00:00:00Z,Atalanta BC,SS Lazio,,,SCHEDULED
