date,home_team,away_team,home_score,away_score,status,goal_diff,result,vittorie_casa_home,vittorie_fuori_home,vittorie_totali_home,pareggi_casa_home,pareggi_fuori_home,pareggi_totali_home,sconfitte_casa_home,sconfitte_fuori_home,sconfitte_totali_home,goal_fatti_casa_home,goal_fatti_fuori_home,goal_fatti_totali_home,goal_subiti_casa_home,goal_subiti_fuori_home,goal_subiti_totali_home,diff_reti_home,media_goal_fatti_home,media_goal_subiti_home,vittorie_casa_away,vittorie_fuori_away,vittorie_totali_away,pareggi_casa_away,pareggi_fuori_away,pareggi_totali_away,sconfitte_casa_away,sconfitte_fuori_away,sconfitte_totali_away,goal_fatti_casa_away,goal_fatti_fuori_away,goal_fatti_totali_away,goal_subiti_casa_away,goal_subiti_fuori_away,goal_subiti_totali_away,diff_reti_away,media_goal_fatti_away,media_goal_subiti_away
2024-08-17T16:30:00Z,Genoa CFC,FC Internazionale Milano,2,2,FINISHED,0,D,5,5,10,7,6,13,7,8,15,21,16,37,25,24,49,-12,1.9473684210526316,2.5789473684210527,13,11,24,4,5,9,2,3,5,40,39,79,21,14,35,44,4.157894736842105,1.8421052631578947
2024-08-17T16:30:00Z,Parma Calcio 1913,ACF Fiorentina,1,1,FINISHED,0,D,5,2,7,6,9,15,8,8,16,25,19,44,28,30,58,-14,2.3157894736842106,3.0526315789473686,12,7,19,4,4,8,3,8,11,32,28,60,18,23,41,19,3.1578947368421053,2.1578947368421053
2024-08-17T18:45:00Z,Empoli FC,AC Monza,0,0,FINISHED,0,D,2,4,6,7,6,13,10,9,19,10,23,33,26,33,59,-26,1.736842105263158,3.1052631578947367,1,2,3,5,4,9,13,13,26,13,15,28,31,38,69,-41,1.4736842105263157,3.6315789473684212
2024-08-17T18:45:00Z,AC Milan,Torino FC,2,2,FINISHED,0,D,9,9,18,7,2,9,3,8,11,30,31,61,16,27,43,18,3.210526315789474,2.263157894736842,6,4,10,7,7,14,6,8,14,17,22,39,18,27,45,-6,2.0526315789473686,2.3684210526315788
2024-08-18T16:30:00Z,Bologna FC 1909,Udinese Calcio,1,1,FINISHED,0,D,10,6,16,7,7,14,2,6,8,33,24,57,18,29,47,10,3.0,2.473684210526316,7,5,12,3,5,8,9,9,18,22,19,41,27,29,56,-15,2.1578947368421053,2.9473684210526314
2024-08-18T16:30:00Z,Hellas Verona FC,SSC Napoli,3,0,FINISHED,3,H,4,6,10,5,2,7,10,11,21,15,19,34,36,30,66,-32,1.7894736842105263,3.473684210526316,14,10,24,3,7,10,2,2,4,32,27,59,13,14,27,32,3.1052631578947367,1.4210526315789473
2024-08-18T18:45:00Z,Cagliari Calcio,AS Roma,0,0,FINISHED,0,D,6,3,9,4,5,9,9,11,20,24,16,40,28,28,56,-16,2.1052631578947367,2.9473684210526314,13,7,20,2,7,9,4,5,9,37,19,56,15,20,35,21,2.9473684210526314,1.8421052631578947
2024-08-18T18:45:00Z,SS Lazio,Venezia FC,3,1,FINISHED,2,H,7,11,18,9,2,11,3,6,9,33,28,61,26,23,49,12,3.210526315789474,2.5789473684210527,5,0,5,5,9,14,9,10,19,17,15,32,22,34,56,-24,1.6842105263157894,2.9473684210526314
2024-08-19T16:30:00Z,US Lecce,Atalanta BC,0,4,FINISHED,-4,A,4,4,8,6,4,10,9,11,20,13,14,27,31,27,58,-31,1.4210526315789473,3.0526315789473686,9,13,22,5,3,8,5,3,8,36,42,78,24,13,37,41,4.105263157894737,1.9473684210526316
2024-08-19T18:45:00Z,Juventus FC,Como 1907,3,0,FINISHED,3,H,11,7,18,7,9,16,1,3,4,31,27,58,15,20,35,23,3.0526315789473686,1.8421052631578947,8,5,13,5,5,10,6,9,15,28,21,49,26,26,52,-3,2.5789473684210527,2.736842105263158
